Score,Date,Content
1,2023-11-10 13:19:28,"The app keeps glitching I can't even get into it and use it,I have updated it,freed up space and I have stable internet connection and there's still nothing,I have to keep uninstalling and reinstalling the app to use it"
5,2023-11-10 13:19:19,Good app
1,2023-11-10 13:18:56,It keeps crashing. So bye-bye tiktok. Instagram here I come.
5,2023-11-10 13:18:10,It's alright site
5,2023-11-10 13:18:06,Low download
1,2023-11-10 13:18:06,I always have problem with it
1,2023-11-10 13:16:54,"The pop up ads are freaking ridiculous. They come every 2 seconds and don't stop. I have selected to disallow them in tiktok and my phone settings, yet they still come. I am going to go crazy over these pop up ads every time I try to do something on my phone."
1,2023-11-10 13:16:26,"This is my final uninstall. The app drains s22ultra's battery so much it's unreal. It runs rogue background w/out permission, set by me not to do that. Device care for battery settings catches it & disables problem app. If a tiktok video is embedded/ linked on site & u try to watch in browser, BAM auto-open Play Store to enable app or (re)/download app. Close, go back & video plays in browser-upon ending, automatically opens up play store & prompts u enable or download battery draining rogue app"
5,2023-11-10 13:15:45,His amazing app
4,2023-11-10 13:15:21,I have a good experience with this
3,2023-11-10 13:15:20,Was enjoying the app until a message popped up saying there is a bug. Try again later so I uninstall the app and re install it to only get the same problems again.
1,2023-11-10 13:14:58,Dear I have 1725 followers and I am posting my best videos but the views are not coming more then four and five of my videos are going viral please fix it.. thanks my tiktok username (jutt92🇮🇹).
5,2023-11-10 13:14:43,So far my experience has been wonderful
5,2023-11-10 13:13:38,very good app
1,2023-11-10 13:13:35,Met to harm children with manipulation.
5,2023-11-10 13:13:22,It the best
3,2023-11-10 13:12:55,Mostly good but tiktok does do some stupid things and don't let you know why. If you want a better rating then do better.
5,2023-11-10 13:12:44,Please tik tok viral my account theycallmeakbar7
1,2023-11-10 13:12:20,I hate those chinese company with the fake community guidelines. Which community?
5,2023-11-10 13:11:59,endalk
5,2023-11-10 13:11:16,It's a really good app
5,2023-11-10 13:10:28,Kathungu Aastazla
5,2023-11-10 13:09:38,This is one of the best app ever I use this app I am happy now I am say you download this app
1,2023-11-10 13:09:36,برنامج متصهين معادي للمسلمين
5,2023-11-10 13:09:35,I love it so much ❤️
4,2023-11-10 13:09:31,"4 stars s for variety, info , talented ppl, good causes. Lose 1 star for singles begging for $, ppl with mutilating piercings or making themselves into demon image"
5,2023-11-10 13:07:56,Very good
4,2023-11-10 13:07:41,WOW❤️🇳🇵😍
2,2023-11-10 13:07:20,Tilhan
5,2023-11-10 13:07:06,Nice app
5,2023-11-10 13:07:00,This app always delete my video in the name of community guidelines
5,2023-11-10 13:06:51,I love the wood work
1,2023-11-10 13:06:39,App keeps telling me it has a bug and won't open.
5,2023-11-10 13:06:18,This is a excellent app for time pass
5,2023-11-10 13:05:53,😍😍❤❤💓
5,2023-11-10 13:05:42,Find good friend
5,2023-11-10 13:05:37,Yees
5,2023-11-10 13:05:27,Baba gril
1,2023-11-10 13:03:33,very BAD
1,2023-11-10 13:03:01,its lagging like SOO MUCH and i cant open the app and i have to redowload it but this time it didnt work please fix this.
3,2023-11-10 13:02:46,"Good app. But in my opinion, there are too many bugs, and like rn, I can't even open it up even after the update Edit :Even after the third update, it's not working (i use tablet)"
5,2023-11-10 13:02:36,Best app
1,2023-11-10 13:02:22,Such a bored algorithm Or preferences feature not working
5,2023-11-10 13:02:19,"Educative and fun, depends on what you want. Tiktok all day"
1,2023-11-10 13:02:00,used to be fun place to support content creators and now it's jus a plethora of rebranded stuff people sell
1,2023-11-10 13:01:49,سيئ جدا 👎👎👎🤤🤤😨😨
5,2023-11-10 13:01:43,Good
5,2023-11-10 13:01:38,Nice
5,2023-11-10 13:00:48,Good 👍
5,2023-11-10 13:00:44,best apps easy to use....
2,2023-11-10 13:00:26,🛫✈️🛬🛫✈️🛬🛫✈️🛬🛫✈️🛬
5,2023-11-10 12:59:30,Need more updates....
1,2023-11-10 12:57:52,how dare u insulting our brothers in KSA you're doomed
5,2023-11-10 12:57:50,It's tight.
2,2023-11-10 12:57:00,"Its a great app, definitely recommended, but im having an issue. my tiktok keeps crashing. it tells me i have some bug and that i should report it, although, i have tried reporting multiple times. and it would not give a feedback. please fix this issue. i wish to show pictures of the proof i have. not possible. i havent used my tiktok since today morning because of this lag, please fix this issue immediately!!"
1,2023-11-10 12:56:21,without reason ban ban again ban videoos. third rate community standards
5,2023-11-10 12:56:17,To the titok community.i need reels to be scrool by just tapping on my airpods please make this feature please please
5,2023-11-10 12:55:59,gooood app
5,2023-11-10 12:55:58,Khankhan
1,2023-11-10 12:55:28,Got banned once now I can't even make a account
5,2023-11-10 12:54:34,Good
2,2023-11-10 12:54:27,In Pakistan there is no live option to see people live
5,2023-11-10 12:53:46,Best app in this world ❤️💯
1,2023-11-10 12:53:41,البرنامج عنصري وقذر جداً يجب نقل ادارته الإقليمية الى السعودية وفصل مخلفات العرب من إدارته
5,2023-11-10 12:53:32,Hi dear TikTok team I really enjoy the app please I have new account so visit to my account and viral all my videos
